Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
AJA4,AJAN,,Asian Journal of Andrology (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJA5,AJAG,,Australasian Journal On Ageing (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJA6,AJAD,,The American Journal on Addictions                 (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJB2,AJB2,,American Journal of Botany,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AJC,AJC,,Asia Pacific Journal of Clinical Nutrition,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJCO,AJCO,,Asia-pacific Journal of Clinical Oncology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJCP,AJCP,,American Journal of Community Psychology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJC2,AJC,,Asia Pacific Journal of Clinical Nutrition,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJC3,AJCO,,Asia-pacific Journal of Clinical Oncology         (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJC4,AJCP,,American Journal of Community Psychology          (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJD,AJD,,Australasian Journal of Dermatology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJDR,AJDR,,See JICD:  Journal of Investigative and Clinical  Dentistry,A-Abandoned,STMS Health Sciences,Health Sci,,,,,,,,,,,,-,,,,
AJD2,AJD,,Australasian Journal of Dermatology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJD3,AJDR,,Journal of Investigative and Clinical Dentistry    (Electronic),A-Abandoned,STMS Health Sciences,Health Sci,,,,,,,,,,,,-,,,,
AJE,AJE,,African Journal of Ecology,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJES,AJES,,The American Journal of Economics and Sociology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJE2,AJE,,African Journal of Ecology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJE3,AJES,,The American Journal of Economics and Sociology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJFS,AJFS,,Asia-Pacific Journal of Financial Studies,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJFT,AJFT,,Australian & New Zealand Journal of Family TherapyInnovative and Contextual Approaches to Human,I-Info Only,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJF3,AJFT,,Australian & New Zealand Journal of Family TherapyInnovative and Contextual Approaches to Human,I-Info Only,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJF4,AJFS,,Asia-Pacific Journal of Financial Studies          (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJG,AJG,,American Journal of Gastroenterology,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJGW,AJGW,,Australian Journal of Grape and Wine Research,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AJG2,AJG,,American Journal of Gastroenterology              (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJG3,AJGW,,Australian Journal of Grape and Wine Research     (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AJH,AJH,,American Journal of Hematology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJHB,AJHB,,American Journal of Human Biology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJH2,AJH,,American Journal of Hematology                     (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJH3,AJHB,,American Journal of Human Biology                  (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJI,AJI,,American Journal of Reproductive Immunology,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJIM,AJIM,,American Journal of Industrial Medicine,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJI2,AJI,,American Journal of Reproductive Immunology       (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJI3,AJIM,,American Journal of Industrial Medicine            (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJM,AJM,,African Journal of Medicine and Medical Science,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJMB,AJMB,AJMG-ABC,American Journal of Medical Genetics Part B:      Neuropsychiatric Genetics,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJMC,AJMC,AJMG-ABC,American Journal of Medical Genetics Part C:      Seminars in Medical Genetics,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJMG,AJMG,AJMG-ABC,American Journal of Medical Genetics Part A,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJM3,AJMG,AJMG-ABC,American Journal of Medical Genetics Part A,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJM4,AJMB,AJMG-ABC,American Journal of Medical Genetics Part B:      Neuropsychiatric Genetics,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJM5,AJMC,AJMG-ABC,American Journal of Medical Genetics Part C:       Seminars in Medical Genetics,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJO,AJO,,Australian and New Zealand Journal of Obstetrics  and Gynaecology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJOC,AJOC,,Asian Journal of Organic Chemistry                Alpha code for WIS - Info Only - See Journal 2157,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
AJOP,AJOP,,American Journal of Orthopsychiatry,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJO2,AJO,,Australian and New Zealand Journal of Obstetrics  and Gynaecology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJO3,AJOP,,American Journal of Orthopsychiatry,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJP,AJP,,American Journal of Primatology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJPA,AJPA,,American Journal of Physical Anthropology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJPH,AJPH,,Australian Journal of Politics and History,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
AJPL,AJPL,,American Jnl of Physio Imaging,C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJPS,AJPS,,American Journal of Political Science,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJPY,AJPY,,Australian Journal of Psychology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJP2,AJP,,American Journal of Primatology                    (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJP3,AJPA,,American Journal of Physical Anthropology          (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJP4,AJPH,,Australian Journal of Politics and History        (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
AJP5,AJPY,,Australian Journal of Psychology                   (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJR,AJR,,Australian Journal of Rural Health,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJRL,AJRL,,American Journal of Reproductive Immunology,I-Info Only,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AJR2,AJR,,Australian Journal of Rural Health (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJR4,AJAR,,The Australian Journal of Agricultural and         Resource Economics,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJSE,AJSE,,Arabian Journal for Science & Engineering,C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AJSP,AJSP,,Asian Journal of Social Psychology,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
AJS3,AJSP,,Asian Journal of Social Psychology (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,J-Joint Owned,,,,
AJS4,AJS4,,Australian Journal of Social Issues,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AJT,AJT,,American Journal of Transplantation,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJT2,AJT,,American Journal of Transplantation (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJUM,AJUM,,Australasian Journal of Ultrasound in Medicine,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AJU2,AJUM,,Australasian Journal of Ultrasound in Medicine,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ALL,ALL,,Allergy,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ALL2,ALL,,Allergy (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ALR,ALR,,International Forum of Allergy & Rhinology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ALR3,ALR,,International Forum of Allergy & Rhinology        (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ALT,ALT,,Alternatives to the High Cost of Litigation,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
ALT2,ALT,,Alternatives to the High Cost of Litigation        (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
ALZ,ALZ,ALZ,Alzheimer's & Dementia,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ALZ2,ALZ,ALZ,Alzheimer's & Dementia,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AMA,AMA,,Acta Medica Austriaca,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AMAN,AMAN,,American Anthropologist,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AMAT,AMAT,,Redundant Alpha Code                              - Info Only - See journal E767,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AMA2,AMA,,Acta Medica Austriaca (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AMA3,AMAN,,American Anthropologist (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AMB,AMB,,medAmbiente                                        Alpha code for WIS - Info Only - see 2155,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AMCC,AMCC,,A&M Publishing 'CC',I-Info Only,Undefined,,,,,,,,,,,,,-,,,,
AMET,AMET,,American Ethnologist,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AME2,AME2,,Animal Models and Experimental Medicine,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
AME3,AMET,,American Ethnologist (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AMI,AMI,,Analytical Methods and Instrumentation,C-Ceased,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AMO,AMO,2126,Advanced Materials for Optics and Electronics,M-Merged,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AMO2,AMO,2126,Advanced Materials for Optics and Electronics      (Electronic),M-Merged,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AMP,AMP,,A&M Projects                                      Not a publication - to record conference revenues,I-Info Only,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
AMP2,AMP2,AMP2,Journal of Advanced Manufacturing and Processing,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AMS2,AMS2,,Acute Medicine & Surgery                          (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANA,ANA,,Annals of Neurology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANAC,ANAC,,Applied Numerical Analysis & Computational MathmatAlpha code for WIS - Info Only - see journal 2135,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ANAE,ANAE,,Anaesthesia,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANAL,ANAL,,Analysis,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANA2,ANA,,Annals of Neurology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANA3,ANAL,,Analysis (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANA4,ANAE,,Anaesthesia (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AND,AND,,Andrologia,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANDP,ANDP,,Annalen der Physik                                Alpha code for WIS - Info Only - see journal 2257,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ANDR,ANDR,ANDR,Andrology,Z-To be Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AND2,AND,,Andrologia (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AND3,ANDR,ANDR,Andrology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANE,ANE,ACPS,Acta Neurologica Scandinavica,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANEC,ANEC,,Annals of Noninvasive Electrocardiology,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANE2,ANE,ACPS,Acta Neurologica Scandinavica (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANE3,ANEC,,Annals of Noninvasive Electrocardiology           (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANGE,ANGE,,Angewandte Chemie                                 Alpha code for WIS - Info Only - see journal 2001,I-Info Only,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,-,,,,
ANHU,ANHU,,Anthropology & Humanism,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANH3,ANHU,,Anthropology & Humanism (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANIE,ANIE,,Angewandte Chemie International Edition           Alpha code for WIS - Info Only - see journal 2002,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
ANNA,ANNA,,Annals of the Association of American Geographers,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANNE,ANNE,,Anthropology News,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANN3,ANNA,,Annals of the Association of American Geographers (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANN4,ANNE,,Anthropology News (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANOC,ANOC,,Anthropology of Consciousness,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANO3,ANOC,,Anthropology of Consciousness (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANP,ANP,,Australian and New Zealand Journal of Psychiatry,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANP2,ANP,,Australian and New Zealand Journal of Psychiatry,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANR3,ANR3,ANR3,Anaesthesia Reports,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANS,ANS,,ANZ Journal of Surgery,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANSA,ANSA,ANSA,Analytical Science Advances - Info only - See E408,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANSE,ANSE,ANSE,Analysis & Sensing - Info Only - See E474,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,J-Joint Owned,,,,
ANS2,ANS,,ANZ Journal of Surgery (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
ANTH,ANTH,JRAI,Anthropology Today,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANTI,ANTI,,Antipode,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANT3,ANTH,JRAI,Anthropology Today (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANT4,ANTI,,Antipode (Electronic),P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANU,ANU,,Aquaculture Nutrition,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANU2,ANU,,Aquaculture Nutrition (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANXI,ANXI,DA,Anxiety,M-Merged,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANX3,ANXI,DA,Anxiety (Electronic),M-Merged,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
ANZF,ANZF,ANZF,Australian and New Zealand                        Journal of Family Therapy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
ANZS,ANZS,,Australian & New Zealand Journal of Statistics,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
ANZ3,ANZS,,Australian & New Zealand Journal of Statistics    (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
ANZ4,ANZF,ANZF,Australian and New Zealand                        Journal of Family Therapy,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
AOC,AOC,,Applied Organometallic Chemistry,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AOCS,AOCS,,Journal of the American Oil Chemists' Society,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AOC2,AOC,,Applied Organometallic Chemistry                   (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
AOC3,AOCS,,Journal of the American Oil Chemists' Society,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
AOG,AOG,,Acta Obstetricia et Gynecologica Scandinavica     NOTE: *** See AOGS/AOG3 for current title ***,I-Info Only,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AOGS,AOGS,,Acta Obstetricia et Gynecologica Scandinavica,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AOG2,AOG,,Acta Obstetricia et Gynecologica Scandinavica     NOTE: *** See AOGS/AOG3 for current title ***,I-Info Only,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AOG3,AOGS,,Acta Obstetricia et Gynecologica Scandinavica      (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
AOM,AOM,,Annals of Medicine,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
